Node-Id;Titel;Url;Bezugsquelle;Spider;Liste
d94ff942-1d9b-444c-b814-cb394274a2f3;Portal Globales Lernen;https://redaktion.openeduhub.net/edu-sharing/components/render/d94ff942-1d9b-444c-b814-cb394274a2f3;portal_globales_lernen_spider;portal_globales_lernen_spider;whitelist
a55a5e66-becf-42e5-83b5-d4b6a210c7f0;Portal für organische Chemie: Namensreaktionen;https://www.organische-chemie.ch/OC/namensreaktionen.htm;;;whitelist
9cc8074b-38a4-46d5-9d54-9eda7def9d02;Praxismaterialien – Forum Umweltbildung;https://www.umweltbildung.at/praxismaterial/;;;whitelist
e03c1cb8-7b6b-4328-9e28-d4228cda411b;Praxismaterialien – Forum Umweltbildung;https://www.umweltbildung.at/praxismaterial/?_praxismaterial_categories=methode;;;whitelist
52c97e43-cd35-4d21-aeab-6ceac6c746a6;Quizdidaktik;https://quizdidaktik.de/;quizdidaktik_spider;quizdidaktik_spider;whitelist
d53fca65-1ca6-4fe0-aa6a-dea30d71aa72;SODIS – online content pool;https://sodis.de/cp/;wirlernenonline_spider;wirlernenonline_spider;whitelist
7f987d08-6467-4a30-9384-516013b64cf5;Schlaukopf.de;https://www.schlaukopf.de/;wirlernenonline_spider;wirlernenonline_spider;whitelist
ea7e4808-f02b-45c6-b0c5-400ca97cd92f;Schulcampus RLP;https://bildungsportal.rlp.de/dashboard;rlp_spider;rlp_spider;whitelist
168c1b50-37b9-4904-a53c-eb1465b17081;Schule im Aufbruch;https://schule-im-aufbruch.de/;Schule im Aufbruch;;whitelist
195e3d9f-011e-4b5e-a96e-e42905190926;Schule im Aufbruch;https://schule-im-aufbruch.de/;schule_im_aufbruch_spider;schule_im_aufbruch_spider;whitelist
8bf7d708-0ef9-4ca3-a5d7-4e47668c1bbf;Science in School;http://www.scienceinschool.org/;wirlernenonline_spider;wirlernenonline_spider;whitelist
a708b19f-6acd-4fdd-9d84-3d9f31b35376;Segu;https://segu-geschichte.de/;segu_spider;segu_spider;whitelist
94b140fb-cef6-42bb-a2ef-3e9ae3b936b5;Serlo;https://de.serlo.org/;serlo_spider;serlo_spider;whitelist
